name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ConjuntoTrabalho_PorObjeto/1000000/iterations:10/repeats:100_mean",100,5.99136e+06,5.94797e+06,ns,,,,,
"ConjuntoTrabalho_PorObjeto/1000000/iterations:10/repeats:100_median",100,5.90398e+06,5.87116e+06,ns,,,,,
"ConjuntoTrabalho_PorObjeto/1000000/iterations:10/repeats:100_stddev",100,267804,257798,ns,,,,,
"ConjuntoTrabalho_PorObjeto/1000000/iterations:10/repeats:100_cv",100,0.0446984,0.0433421,,,,,,
