name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"EstruturaDeArranjos_UmaCoordenadaPorVez/8192/iterations:1000",1000,3196.99,3190.71,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/16384/iterations:1000",1000,6664.59,6653.08,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/32768/iterations:1000",1000,19438.3,19411.7,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/65536/iterations:1000",1000,40770.3,40718.7,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/131072/iterations:1000",1000,82575.6,82446.5,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/262144/iterations:1000",1000,166301,165790,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/524288/iterations:1000",1000,329317,328771,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/1048576/iterations:1000",1000,656811,655239,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/2097152/iterations:1000",1000,1.41047e+06,1.40758e+06,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/4194304/iterations:1000",1000,5.61658e+06,5.59984e+06,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/8388608/iterations:1000",1000,1.16487e+07,1.16225e+07,ns,,,,,
"EstruturaDeArranjos_UmaCoordenadaPorVez/10000000/iterations:1000",1000,1.38538e+07,1.38222e+07,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/1/iterations:1000",1000,5.213,4.677,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/2/iterations:1000",1000,4.037,3.883,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/4/iterations:1000",1000,7.304,7.225,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/8/iterations:1000",1000,10.322,10.284,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/16/iterations:1000",1000,68.984,68.696,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/32/iterations:1000",1000,59.919,59.804,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/64/iterations:1000",1000,120.18,120.116,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/128/iterations:1000",1000,272.506,272.427,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/256/iterations:1000",1000,572.449,552.185,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/512/iterations:1000",1000,1002.98,1002.84,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/1024/iterations:1000",1000,1906.92,1906.84,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/2048/iterations:1000",1000,3857.75,3849.52,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/4096/iterations:1000",1000,7788.98,7777.61,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/8192/iterations:1000",1000,15164.7,15147,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/16384/iterations:1000",1000,30197.8,30167.1,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/32768/iterations:1000",1000,76707.3,76585.2,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/65536/iterations:1000",1000,158691,158494,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/131072/iterations:1000",1000,318276,317530,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/262144/iterations:1000",1000,631006,629818,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/524288/iterations:1000",1000,1.2633e+06,1.26064e+06,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/1048576/iterations:1000",1000,2.5265e+06,2.52136e+06,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/2097152/iterations:1000",1000,5.19415e+06,5.18287e+06,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/4194304/iterations:1000",1000,1.75594e+07,1.752e+07,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/8388608/iterations:1000",1000,3.55517e+07,3.54722e+07,ns,,,,,
"ArranjoDeEstruturas_UmaCoordenadaPorVez/10000000/iterations:1000",1000,4.24251e+07,4.23333e+07,ns,,,,,
