name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ConjuntoTrabalho_PorBlocos/1000000/iterations:10/repeats:100_mean",100,6.42653e+06,6.39061e+06,ns,,,,,
"ConjuntoTrabalho_PorBlocos/1000000/iterations:10/repeats:100_median",100,6.43575e+06,6.4029e+06,ns,,,,,
"ConjuntoTrabalho_PorBlocos/1000000/iterations:10/repeats:100_stddev",100,101523,100603,ns,,,,,
"ConjuntoTrabalho_PorBlocos/1000000/iterations:10/repeats:100_cv",100,0.0157975,0.0157423,,,,,,
